00:aaron,among
01:amorite,beast
02:beasts,bring
03:bringing,children
04:childrens,creature
05:creatures,devour
06:devoured,elders
07:eldest,fathers
08:fathoms,garment
09:garments,gold
10:golden,having
11:havoc,help
12:helped,his
13:hiss,israel
14:israelite,kingdoms
15:kingly,like
16:liken,lying
17:lyre,men
18:menahem,never
19:nevermore,one
20:ones,philistia
21:philistine,quarreling
22:quarrels,safe
23:safekeeping,see
24:seed,shemaiah
25:shemariah,southeast
26:southern,taking
27:tale,there
28:therefore,two
29:tychicus,ways
30:wayside,world
31:worldly,zuzim
